processed_tweets,label,predicted_label
memimpin rapat jajarannya membahas istana merdeka jakarta selasa  oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9545518159866333}]"
kdrt tinggal baean kdrt baean kdrt baean gitu ajah ampe resmi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9833847284317017}]"
transformasi berbangsa bernegara salah pedoman perancangan inti pusat pemerintahan kipp diterjemahkan penciptaan ruang representasi budaya air,0.0,"[{'label': 'NEGATIVE', 'score': 0.9776474833488464}]"
"bambang susantono melantik  pejabat pimpinan madya ikn

seluruh pejabat diamanatkan menjaga environment social and governance bambang menekankan toleransi korupsi",0.0,"[{'label': 'NEGATIVE', 'score': 0.8840551972389221}]"
daftar nama pejabat dilantik,0.0,"[{'label': 'NEGATIVE', 'score': 0.9893955588340759}]"
pemasukan investasi modal membangun proyek,0.0,"[{'label': 'NEGATIVE', 'score': 0.9215473532676697}]"
"kamis  bambang susantono melantik orang pejabat pimpinan madya lingkungan pelantikan berdasarkan keppres ri no tpa 

foto humas kemensetneg",0.0,"[{'label': 'NEGATIVE', 'score': 0.9883610606193542}]"
jalur logistik material khusus penampakannya,0.0,"[{'label': 'NEGATIVE', 'score': 0.9832963347434998}]"
hasto pdip jgn pilih capres  krn anies baswedan tolak tolak pindah jakarta,0.0,"[{'label': 'NEGATIVE', 'score': 0.946861743927002}]"
pejabat madya dilantik daftarnya jakarta  pejabat madya dilantik bambang,0.0,"[{'label': 'NEGATIVE', 'score': 0.9533588886260986}]"
"halo sahabat naker
hayooo rencana",0.0,"[{'label': 'POSITIVE', 'score': 0.5034699440002441}]"
"hasto pdip jgn pilih capres  tolak ke kaltim
anies baswedan tolak tolak pindah jakarta",0.0,"[{'label': 'NEGATIVE', 'score': 0.9709134697914124}]"
myrna anak tokoh pers kaltim isi pemerintahan,0.0,"[{'label': 'POSITIVE', 'score': 0.7770764827728271}]"
hasto pdip anies baswedan tolak enggan pindah jakarta jign pilih capres  menolak ke kaltim yg mempertahankan jakarta,0.0,"[{'label': 'NEGATIVE', 'score': 0.9775545001029968}]"
tumpuan ekonomi balikpapan terkini tatap beranda,1.0,"[{'label': 'NEGATIVE', 'score': 0.7916538119316101}]"
nasional,1.0,"[{'label': 'POSITIVE', 'score': 0.6420159339904785}]"
insentif investor ditawarkan perizinan hak bangunan hgb  dinilai persis penjajahan belanda kemerdekaan ri,1.0,"[{'label': 'NEGATIVE', 'score': 0.9760016202926636}]"
menetapkan skema pendanaan ketentuan tertuang pp nomor   pendanaan pengelolaan anggaran rangka persiapan pemerintahan daerah khusus,0.0,"[{'label': 'NEGATIVE', 'score': 0.9250706434249878}]"
pelantikan berlandaskan keputusan nomor tpa  pengangkatan jabatan pimpinan madya lingkungan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9366865754127502}]"
oikn bambang susantono melantik pejabat madya lingkungan aula serbaguna kementerian sekretariat kamis,0.0,"[{'label': 'NEGATIVE', 'score': 0.9857227206230164}]"
penyiapan bidang pertahanan darat rangka menguatkan pertahanan  aula ruang rapat kantor bupati penajam paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9607515931129456}]"
bambang susantono melantik pejabat pimpinan madya,0.0,"[{'label': 'NEGATIVE', 'score': 0.7948258519172668}]"
menteri pemuda olahraga republik menpora ri zainudin amali peringatan sumpah pemuda hsp  dilaksanakan kaltim tanggal  oktober ,0.0,"[{'label': 'NEGATIVE', 'score': 0.9923579096794128}]"
"dirancang menyediakan pejalan kaki menjadikan layak beraktifitas 
keberadaan jalur hijau menawarkan mobilitas berbasis rekreasi terintegrasi jaringan transportasi umum
keren banget",0.0,"[{'label': 'NEGATIVE', 'score': 0.9857834577560425}]"
"sukses gaduh ri imbalan yg mengancam negaraberarti kader penyusup yg mengancam kedamaian nkri
ibu bersih orang ormas terlarang",0.0,"[{'label': 'NEGATIVE', 'score': 0.9691716432571411}]"
penamaan objek informasi diutamakan bahasa resmi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9650120139122009}]"
proses penamaan objek informasi yg diutamakan bahasa resmi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9752113223075867}]"
"pindah ikn
yang tukang demo berfikir  kali jaga sodara kalimantan
dan tentram damaibudaya asli leluhur tumbuh subur
salam paseduluran",1.0,"[{'label': 'NEGATIVE', 'score': 0.9889269471168518}]"
batavia udah hindia belanda  jayakarta sunda kelapa sejarah  kemerdekan yg dulunya rakyat hindia belanda bernama resmi bekas jajahan belanda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9850806593894958}]"
walah numpang,-1.0,"[{'label': 'NEGATIVE', 'score': 0.7667946219444275}]"
lingkungan perkantoran inti pusat pemerintahan kipp dipersiapkan lingkungan perkantoran hijau berkinerja ramah lingkungan terkonsolidasi terintegrasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9899927377700806}]"
kantor penghubung banten usul anggaran rp miliar,0.0,"[{'label': 'NEGATIVE', 'score': 0.9494283199310303}]"
peringatan sumpah pemuda  oktober  digelar,0.0,"[{'label': 'NEGATIVE', 'score': 0.9723542928695679}]"
posisi jabatan organisasi diisi proses seleksinya langsung dipilih,0.0,"[{'label': 'NEGATIVE', 'score': 0.9820396900177002}]"
menawarkan proyek investor penjajakan pasar pertengahan minim peminat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9135832786560059}]"
ngeles gerombolan kadal dr segi posisi dana aja dah beda dki yg miniatur  jg barometer  klo ga bully ga kerja  knp ga pilkada daerah  aja semudah,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9954612851142883}]"
kementerian  membangun pusat data nasional lokasi wilayah jakarta bogor depok tangerang bekasi batam labuan bajo,0.0,"[{'label': 'NEGATIVE', 'score': 0.9592003226280212}]"
"pengusaha rusia nilai peluang investasi menarik

sejumlah pengusaha rusia menilai peluang investasi menarik mencari masuk berinvestasi proyek",1.0,"[{'label': 'NEGATIVE', 'score': 0.9708607196807861}]"
dibangun konsep hutan daya tarik tersendiri kelak kebanggaan masyarakat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9628459215164185}]"
"proyek kereta cepat china 

ibu 

 proyek dibiayai apbn bokek ambisi proyek kepentingan 

demi properti jakarta dijual menyewa properti kebutuhan operasional kerja",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9782377481460571}]"
andai wabah corona   pusat pemerintahannya  berdiri megah  asri indah     pengap polusi udara   macet  banjir banjir  jakarta  hati hati menjadikan mangkrak,1.0,"[{'label': 'NEGATIVE', 'score': 0.9208139181137085}]"
pindah jakarta startup,1.0,"[{'label': 'POSITIVE', 'score': 0.9795609712600708}]"
diharapkan meningkatkan tenaga pendidik infrastruktur pendidikan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9424510598182678}]"
"dukung jaga keamanan ink nusantara






 



 berjuang maluku",1.0,"[{'label': 'NEGATIVE', 'score': 0.9862174987792969}]"
konser perayaan  jkt berlokasi,0.0,"[{'label': 'POSITIVE', 'score': 0.8372068405151367}]"
"pindah kaltim anies baswedan singgung daya tarik jakarta

        
 
",0.0,"[{'label': 'NEGATIVE', 'score': 0.844653844833374}]"
"jakarta tu miniatur  klo ga benahi jkta ga jd gubernur ga kaitanya dgn daerah lain
ga mencari pembenaran dalih apapun
paham",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9917276501655579}]"
"oikn tugas melaksanakan kegiatan persiapan negara

selain oikn memiliki tanggung penyelenggaraan daerah khusus pengembangan daerah mitra",0.0,"[{'label': 'NEGATIVE', 'score': 0.9494100213050842}]"
susunan organisasi oikn diatur peraturan nomor   organisasi tata kerja,0.0,"[{'label': 'NEGATIVE', 'score': 0.9499763250350952}]"
menteri pemuda olahraga republik menpora ri zainudin amali peringatan sumpah pemuda hsp  dilaksanakan kaltim  oktober ,0.0,"[{'label': 'NEGATIVE', 'score': 0.9926443099975586}]"
ikapakarti mendukung menjaga keamanan mahasiswa nusa tenggara barat mendukung,1.0,"[{'label': 'NEGATIVE', 'score': 0.9814770221710205}]"
 udah jakarta status pindah penajem paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.7526979446411133}]"
"udah tau  tujuan utaman nusantara






 



jawa barat",0.0,"[{'label': 'NEGATIVE', 'score': 0.8889920115470886}]"
" prioritas investasi nusantara






 



jawa barat",0.0,"[{'label': 'NEGATIVE', 'score': 0.8501120805740356}]"
rencana pemberian perizinan hak bangunan hgb  berpotensi diperpanjang ,0.0,"[{'label': 'NEGATIVE', 'score': 0.659700334072113}]"
"mendukung menjaga keamanan nusantara







 


 jawa barat",1.0,"[{'label': 'NEGATIVE', 'score': 0.9506657719612122}]"
mendukung menjaga keamanan,1.0,"[{'label': 'POSITIVE', 'score': 0.552206814289093}]"
rangka telkom aktif berkontribusi proses aspek teknologi informasi telekomunikasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9863055944442749}]"
puncak sumpah pemuda  dipusatkan penajam paser utara  oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9941608905792236}]"
lanjutkan,1.0,"[{'label': 'POSITIVE', 'score': 0.7092166543006897}]"
pindah jakarta startup,1.0,"[{'label': 'POSITIVE', 'score': 0.9795609712600708}]"
tertarik berinvestasi pertengahan oktober  yuk dukung,1.0,"[{'label': 'NEGATIVE', 'score': 0.9055918455123901}]"
tertarik berinvestasi diii pertengahan oktober ,0.0,"[{'label': 'NEGATIVE', 'score': 0.9653931856155396}]"
tertarik berinvestasi pertengahan oktober ,0.0,"[{'label': 'NEGATIVE', 'score': 0.8279777765274048}]"
tertarik berinvestasi pertengahan oktober ,0.0,"[{'label': 'NEGATIVE', 'score': 0.8279777765274048}]"
airlangga menekankan krisis global diatasi bersamasama tertarik berinvestasi pertengahan oktober ,1.0,"[{'label': 'NEGATIVE', 'score': 0.8241536617279053}]"
berencana memimpin langsung jajak pasar market sounding calon investoragar tertarik berinvestasi pertengahan oktober ,0.0,"[{'label': 'NEGATIVE', 'score': 0.9846113920211792}]"
tertarik berinvestasi pertengahan oktober ,0.0,"[{'label': 'NEGATIVE', 'score': 0.8279777765274048}]"
menetapkan dialihkan jakarta bertransformasi startup,1.0,"[{'label': 'NEGATIVE', 'score': 0.9496488571166992}]"
memimpin rapat jajarannya membahas istana merdeka jakarta selasa  oktober  keterangannya selepas rapat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9823541045188904}]"
kementerian agraria tata ruangbadan pertanahan nasional atrbpn menawarkan hak bangunan hgb berdurasi   investor tertarik investasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.965110182762146}]"
kemkominfo membangun pusat data nasional lokasi wilayah jakarta bogor depok tangerang bekasi batam labuan bajo,0.0,"[{'label': 'NEGATIVE', 'score': 0.9492508172988892}]"
"oikn kesempatan putraputri terbaik bangsa sejarah negara

pengisian jabatan pimpinan madya pratama oikn dilaksanakan",0.0,"[{'label': 'NEGATIVE', 'score': 0.9765955209732056}]"
mari bergabung sejarah,1.0,"[{'label': 'POSITIVE', 'score': 0.5560831427574158}]"
waw pindah kaltim anies baswedan singgung daya tarik jakarta,0.0,"[{'label': 'NEGATIVE', 'score': 0.9607478380203247}]"
pt pp persero tbk ptpp perusahaan konstruksi investasi bekerjasama lg cns company limited lg cns mengembangkan proyek smart city,1.0,"[{'label': 'POSITIVE', 'score': 0.6177102327346802}]"
"kantor bahasa provinsi mengadakan diskusi kelompok terpumpun dkt klinik bahasa klisara 

selengkapnya",0.0,"[{'label': 'NEGATIVE', 'score': 0.9729989767074585}]"
sahabat libur weekend kemarin tim yg dr  orang kegiatan orientasi pengenalan tim bidang cipta karya dilaksanakan ,0.0,"[{'label': 'NEGATIVE', 'score': 0.9428785443305969}]"
ketahuan anies ogah pindah nasdem kena sindir pdip,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9806137681007385}]"
berencana menjadikan strategis nasional ksn hutan berkelanjutan rencana tertuang perpres nomor   rencana tata ruang strategis nasional,0.0,"[{'label': 'NEGATIVE', 'score': 0.9780009984970093}]"
"upaya mengusung ekonomi inklusif

aceh mendukung",1.0,"[{'label': 'NEGATIVE', 'score': 0.8981773853302002}]"
berita aceh  masyarakat daya memberdayakan seni budaya,1.0,"[{'label': 'NEGATIVE', 'score': 0.765885055065155}]"
update aceh  masyarakat daya memberdayakan seni budaya,1.0,"[{'label': 'NEGATIVE', 'score': 0.5374829173088074}]"
sustainable forest city didukung pakar pemukiman lintas kongres earoph,1.0,"[{'label': 'POSITIVE', 'score': 0.9847207069396973}]"
"anies gagal atasi banjir kota
sumatera selatan",-1.0,"[{'label': 'NEGATIVE', 'score': 0.8531293869018555}]"
"anies gagal memimpin kota
jadi gubernur bae gagal apolagi nak kacau dibuatnyo
sumatera selatan",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9862881302833557}]"
mengusung visi dunia menggambarkan peradaban masyarakat pembangunannya menerapkan tata kelola berstandar global sesuai kaidah berkelanjutan,1.0,"[{'label': 'NEGATIVE', 'score': 0.9878882765769958}]"
jakarta diprediksi startup pindah,0.0,"[{'label': 'NEGATIVE', 'score': 0.7503970861434937}]"
"sengaja ya benamkan jakarta
dia kelompok pendukung nya  keki kesel bener pindahin kalimantan
jahat",0.0,"[{'label': 'NEGATIVE', 'score': 0.8909175395965576}]"
"keberadaan wilayah kabupaten ppi provinsi kaltim kecamatan sepaku dinilai potensi bisnis pengembangan perumahan
bisnis pengembang perumahan potensial hadirnya masyarakat berminat beli rumah",1.0,"[{'label': 'NEGATIVE', 'score': 0.9630388617515564}]"
prosesnya kadin melaksanakan premarket sounding investor,0.0,"[{'label': 'NEGATIVE', 'score': 0.9277647137641907}]"
menyelesaikan rancangan peraturan mengatur pemberian insentif investor dpt meningkatkan minat investor,0.0,"[{'label': 'NEGATIVE', 'score': 0.9430822730064392}]"
tarik minat investor siapkan insentif menyelesaikan rancangan peraturan mengatur pemberian insentif investor,1.0,"[{'label': 'NEGATIVE', 'score': 0.9615567922592163}]"
kadin melaksanakan premarket sounding investor,0.0,"[{'label': 'NEGATIVE', 'score': 0.8001008033752441}]"
merancang peraturan mengatur pemberian insentif investor membangun,1.0,"[{'label': 'NEGATIVE', 'score': 0.9600254893302917}]"
insentif tarik minat investor,1.0,"[{'label': 'NEGATIVE', 'score': 0.9483515024185181}]"
"perlahan terjadisebutan ibukota tukar nusantaraberikut nama akanpemimpin lupa sejarah
sebelum merdeka sebutan luasfilipina malaysiasingapura terpecah inggris belanda",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9585108757019043}]"
"ibadah agama buddha wihara kelenteng bio candi arama kuil cetiya 
sedangkan disana gak yg buddha kabtsb calon 
lalu ya",0.0,"[{'label': 'NEGATIVE', 'score': 0.9650894403457642}]"
banjir melanda aceh utara selasa  jumat  genangan surut jantung lhoksukon aceh utara parah,0.0,"[{'label': 'NEGATIVE', 'score': 0.9473913311958313}]"
"inti pusat pemerintahan kipp dirancang terhubung menyatu alam





 berjuang maluku",1.0,"[{'label': 'NEGATIVE', 'score': 0.9073991775512695}]"
"inti pusat pemerintahan kipp dirancang terhubung menyatu alam





 maluku",1.0,"[{'label': 'NEGATIVE', 'score': 0.8937144875526428}]"
inti pusat pemerintahan,1.0,"[{'label': 'NEGATIVE', 'score': 0.7124562859535217}]"
"nusantara




 
sulawesi utara",1.0,"[{'label': 'NEGATIVE', 'score': 0.5176801681518555}]"
menyelesaikan rancangan peraturan mengatur pemberian insentif investor penajam paser utara,1.0,"[{'label': 'NEGATIVE', 'score': 0.9691593647003174}]"
"inti pusat pemerintahan 





ternate  malut  maluku utara",1.0,"[{'label': 'NEGATIVE', 'score': 0.9368987679481506}]"
"wujud maju cerdas
pemuda arsitek jawa bali dukung",1.0,"[{'label': 'NEGATIVE', 'score': 0.9755563735961914}]"
"inti pusat pemerintahan dirancang terhubung menyatu alam





 
bali",1.0,"[{'label': 'NEGATIVE', 'score': 0.6038442254066467}]"
membangun fisik semesta membangun layak huni dicintai warganya,1.0,"[{'label': 'NEGATIVE', 'score': 0.9867625832557678}]"
"tsb dirjen cipta karya kementerian pupr diana kusumastuti onlinepada acara orientasi pengenalan kegiatan diselenggarakan 
oleh bppw balikpapan jumatminggu",0.0,"[{'label': 'NEGATIVE', 'score': 0.9707170724868774}]"
"kegiatan yg dilaksanakan   mencakup dr  kegiatan yg sifatnya kontraktual swakelolaampmengingat jangka pelaksanaan yg singkat bidang 
cipta karya dilaksanakan",1.0,"[{'label': 'NEGATIVE', 'score': 0.9875180721282959}]"
"dipersiapkan proses pengelolaan kearsipan
kebijakan kearsipan disusun arsip nasional republik anri",0.0,"[{'label': 'NEGATIVE', 'score': 0.9790679216384888}]"
"hai temankeu

uu nomor   landasan dasar pelaksanaan dki jakarta",0.0,"[{'label': 'NEGATIVE', 'score': 0.9049538969993591}]"
"potensial bikin pusat teknologi

ibu potensial pusat teknologi disebabkan memiliki kepadatan dibanding jakarta",1.0,"[{'label': 'NEGATIVE', 'score': 0.9822148084640503}]"
dinas kesehatan provinsi jaya mualimin rumah sakit bertaraf internasional dibangun,0.0,"[{'label': 'NEGATIVE', 'score': 0.5852218866348267}]"
ptpp persero tbk menjalin kerja investasi perusahaan korea selatan mengembangkan proyek smart city,1.0,"[{'label': 'POSITIVE', 'score': 0.9661821126937866}]"
saran daerah diseluruh kebanjiran pindah ya,0.0,"[{'label': 'NEGATIVE', 'score': 0.9728036522865295}]"
uang membangun infrastruktur yg bnyk datangannya china uang perbudakkan orang uyghur muslim yg bersalah ga nyoblos orang km t khusus neraka orang,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9941445589065552}]"
rangka seminar amp konferensi nasional himpunan ilmu gulma th  tema strategi pengelolaan gulma berbasis teknologi era society  mendukung terwujudnya  wirawan budi utomo didapuk narsum,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9766300916671753}]"
"periode menguasai sekumpul orang  hadramaut yaman menguasai nusantara

sejarah mencatat pribumi rakyat kelas rendah semenanjung ri",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9787521958351135}]"
"dukungan tokoh masyarakat nusantara






banten",1.0,"[{'label': 'NEGATIVE', 'score': 0.9843599200248718}]"
diyakini dampak warga kabupaten penajam paser utara,1.0,"[{'label': 'NEGATIVE', 'score': 0.9585121870040894}]"
rusia vladimir putin tertarik investasi kereta api,0.0,"[{'label': 'NEGATIVE', 'score': 0.9238459467887878}]"
"berdasarkan ketentuan perpres no  minimal  deputi dipilih diutamakan berasal unsur masyarakat lokal timur
otorita menjaring individu bertalenta profesional menerapkan prinsip meritokrasi",0.0,"[{'label': 'NEGATIVE', 'score': 0.9863999485969543}]"
bangun berkelas dunia individu organisasi birokrasi lincah profesional tantangan,0.0,"[{'label': 'NEGATIVE', 'score': 0.980807900428772}]"
berdasarkan ketentuan peraturan nomor  deputi diutamakan unsur masyarakat lokal,0.0,"[{'label': 'NEGATIVE', 'score': 0.9463804960250854}]"
"minimal  deputi otoritas diisi masyarakat lokal kaltim

berdasarkan ketentuan peraturan nomor   deputi dipilih diutamakan berasal unsur masyarakat lokal",0.0,"[{'label': 'NEGATIVE', 'score': 0.9921896457672119}]"
menggelar jajak pasar market sounding mengundang minat investor proyek,0.0,"[{'label': 'NEGATIVE', 'score': 0.9814845323562622}]"
keterangan pers badan kantor ,0.0,"[{'label': 'NEGATIVE', 'score': 0.6660279035568237}]"
ibukota ya,0.0,"[{'label': 'POSITIVE', 'score': 0.8682963848114014}]"
bodoh yg perna merusak lg indo kedepan dgn org yg tenggelam,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9896062612533569}]"
bambang susantono membangun fisik memperhatikan kelayakan penghuninya,1.0,"[{'label': 'NEGATIVE', 'score': 0.8797879219055176}]"
jajarannya membangun,0.0,"[{'label': 'POSITIVE', 'score': 0.7120102643966675}]"
"sudut pandang perencanaan wilayah konektivitas aspek perencanaan lingkungan

link",0.0,"[{'label': 'NEGATIVE', 'score': 0.9687645435333252}]"
"konsultasi publik kementerian atrbpn dukung penyusunan penetapan rancangan peraturan  rdtr wp ikn

link",0.0,"[{'label': 'NEGATIVE', 'score': 0.9848589897155762}]"
"menteri atrkepala bpn meninjau nusantara

link",0.0,"[{'label': 'NEGATIVE', 'score': 0.9024035334587097}]"
dibangun menunjang infrastruktur bendungan pt brantas abipraya persero  bendungan mereduksi banjir sumber air wilayah,0.0,"[{'label': 'NEGATIVE', 'score': 0.9718635678291321}]"
kebijakan gagasan momentum mewujudkan maju menghadirkan pemerataan ekonomi air,0.0,"[{'label': 'NEGATIVE', 'score': 0.9389770030975342}]"
kabupaten pemkab penajam paser utara kaltim menutup kunjungan wisata tahap infrastruktur ikn,0.0,"[{'label': 'NEGATIVE', 'score': 0.9775547981262207}]"
strategi pengelolaan gulma berbasis teknologi era society  mendukung terwujudnya karantina pertanian samarinda drh wirawan budi utomo didapuk salah narasumber,0.0,"[{'label': 'NEGATIVE', 'score': 0.9553757309913635}]"
"berkomitmen penuh menjaga kondusifitas wilayah kelancaran infrastruktur kec sepaku ppu

sumatera utara",1.0,"[{'label': 'NEGATIVE', 'score': 0.9858244061470032}]"
pemkab penajam paser utara menutup kunjungan wisata,1.0,"[{'label': 'NEGATIVE', 'score': 0.986542820930481}]"
"ya hujan merata jakarta sorotan 
semua pusat bisnis pusat perllbelanjaan arus penduduk masuk kotakota satelit kendaraan bermotor sangatsangat jakarta",0.0,"[{'label': 'NEGATIVE', 'score': 0.9724265336990356}]"
"menpan rbabdullah azwar anas berniat memindah aparatur sipil paksa

selengkapnya",0.0,"[{'label': 'NEGATIVE', 'score': 0.9504169225692749}]"
"dilengkapi infrastruktur tol laut immerse tunnel kehadiran tol laut menghubungkan kaltim balikpapan ikn

dadang    banjir  romlah",0.0,"[{'label': 'NEGATIVE', 'score': 0.9107718467712402}]"
"wacana kepastian didukung mewujudkannya
semua konsep indah tantangannya mewujudkan konsep",0.0,"[{'label': 'NEGATIVE', 'score': 0.9705862402915955}]"
"mantap
uu kepastian hukum pelaksanaan konsentrasi sesuai mekanisme  uu 

yes dukung",1.0,"[{'label': 'NEGATIVE', 'score': 0.9687792062759399}]"
kejayaan,1.0,"[{'label': 'POSITIVE', 'score': 0.9970710873603821}]"
kejayaan nusantara,1.0,"[{'label': 'POSITIVE', 'score': 0.836462140083313}]"
kabupaten pemkab penajam paser utara kaltim menutup kunjungan wisata tahap infrastruktur i,0.0,"[{'label': 'NEGATIVE', 'score': 0.9762689471244812}]"
menggelar jajak pasar market sounding mengundang minat investor proyek,0.0,"[{'label': 'NEGATIVE', 'score': 0.9814845323562622}]"
rencananya menggelar jajak pasar mengundang minat investor proyek berkembanf,0.0,"[{'label': 'NEGATIVE', 'score': 0.9675683379173279}]"
menggelar jejak pasar market sounding mengundang minat investor proyek,0.0,"[{'label': 'NEGATIVE', 'score': 0.9802570939064026}]"
kementerian pendayagunaan aparatur reformasi birokrasi kemenpan rb menyelesaikan asesmen rencana aparatur sipil,0.0,"[{'label': 'NEGATIVE', 'score': 0.9779866933822632}]"
"rangka salah aspek pengembangannya pemanfaatan teknologi digital

telkom perusahaan digitaltelco terbesar",0.0,"[{'label': 'NEGATIVE', 'score': 0.9641363620758057}]"
ketua satgas pelaksanaan infrastruktur danis sumadilaga proyek tahap lelang oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9882985949516296}]"
kementerian pupr pelatihan calon tenaga kerja konstruksi  warga lokal ,0.0,"[{'label': 'NEGATIVE', 'score': 0.987200915813446}]"
aturan insentif meningkatkan daya tarik investor berinvestasi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9782572388648987}]"
tahap memprioritaskan  sektor investasi inti pusat pemerintahan kipp,0.0,"[{'label': 'NEGATIVE', 'score': 0.9649924039840698}]"
komplit tol laut disney park  via  and the city,1.0,"[{'label': 'NEGATIVE', 'score': 0.7969745993614197}]"
pelatihan pekerja konstruksi,0.0,"[{'label': 'NEGATIVE', 'score': 0.909713864326477}]"
badan bambang susantono mendirikan mengelola badan usaha milik membangun,0.0,"[{'label': 'NEGATIVE', 'score': 0.9736299514770508}]"
wujudkan berkelas dunia sumatera selatan mendukung,1.0,"[{'label': 'NEGATIVE', 'score': 0.9955952167510986}]"
"memimpin rapat jajarannya membahas istana merdeka jakarta


txt double million seller
presiden
reece james
hillary
banjir
red velvet
tentara nasional",0.0,"[{'label': 'NEGATIVE', 'score': 0.9337056279182434}]"
"dukung maju sejahtera







nusa tenggara barat mendukung",1.0,"[{'label': 'NEGATIVE', 'score': 0.9748901128768921}]"
" memimpin rapat jajarannya membahas istana merdeka jakarta selasa 

foto bpmi setpres",0.0,"[{'label': 'NEGATIVE', 'score': 0.9788578152656555}]"
"bendungan sepaku semoi desa tengin kecamatan sepaku kabupaten penajam paser utara ditargetkan rampung dibangun menunjang infrastruktur ikn

jokowi gas pol infrastruktur",1.0,"[{'label': 'NEGATIVE', 'score': 0.9876348972320557}]"
"memimpin rapat jajarannya membahas istana merdeka jakarta


hillary
segera masuk sidang
haechan lee thank you
banjir
akbar tanjung
xl axiata
red velvet",0.0,"[{'label': 'POSITIVE', 'score': 0.993358314037323}]"
wujudkan sentris melalu,1.0,"[{'label': 'NEGATIVE', 'score': 0.9890257716178894}]"
wujudkan sentris,1.0,"[{'label': 'NEGATIVE', 'score': 0.9823225736618042}]"
perdagangan kemarin ihsg ditutup menguat level  terkait mancanegara periode september  korea selatan mencatat rilis inflasi melambat berturutturut,0.0,"[{'label': 'NEGATIVE', 'score': 0.9876478314399719}]"
wujudkan indonesiasentris,1.0,"[{'label': 'NEGATIVE', 'score': 0.8986266255378723}]"
"menggelar rapat salah pembahasan insentif pelaku usaha nusantara

   pssi  percaya  thiago silva",0.0,"[{'label': 'NEGATIVE', 'score': 0.974088728427887}]"
bambang susantono sistem teknologi membantu kehidupan sehari dicap yg cerdas teknologi mutakhir amp mudah diakses,0.0,"[{'label': 'NEGATIVE', 'score': 0.977546751499176}]"
badan bambang susantono terkait,0.0,"[{'label': 'NEGATIVE', 'score': 0.5658964514732361}]"
"memimpin langsung jajak pasar market sounding menarik calon investor pertengahan oktober ini

  nasdem  krunic  sterling  harta",0.0,"[{'label': 'NEGATIVE', 'score': 0.9785357713699341}]"
memimpin langsung jajak pasar market sounding calon investor tertarik berinvestasi pertengahan oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9605052471160889}]"
memimpin langsung jajak pasar market sounding calon investor tertarik berinvestasi pertengahan oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9605052471160889}]"
memimpin langsung jajak pasar market sounding calon investor tertarik berinvestasi,0.0,"[{'label': 'NEGATIVE', 'score': 0.8950453996658325}]"
"siapkan insentif pelaku usaha investor ikn
presiden memimpin rapat jajarannya membahas istana merdeka jakarta selasa  oktober",0.0,"[{'label': 'NEGATIVE', 'score': 0.9810228943824768}]"
inti pusat pemerintahan kipp dirancang terhubung menyatu alam,0.0,"[{'label': 'NEGATIVE', 'score': 0.8962268829345703}]"
menunjang infrastruktur pt brantas abipraya persero bangun bendungan sepaku semoi desa tengin kecamatan sepaku kabupaten penajam paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9756242632865906}]"
ttp merealisasikan market sounding penjajakan minat pasar rencananya market sounding tsb dipimpin langsung utk mempromosikan proyek peluang investasi mendengarkan aspirasi investor,0.0,"[{'label': 'NEGATIVE', 'score': 0.9921651482582092}]"
 memimpin rapat jajarannya membahas istana merdeka jakarta selasa  oktober,0.0,"[{'label': 'NEGATIVE', 'score': 0.9545518159866333}]"
penajam paser utara wilayah direncanakan meliputi daratan seluas  hektar perairan laut seluas  hektar,0.0,"[{'label': 'NEGATIVE', 'score': 0.9658286571502686}]"
penajam paser utara wilayah direncanakan meliputi daratan seluas  hektar perairan laut seluas  hektar,0.0,"[{'label': 'NEGATIVE', 'score': 0.9658286571502686}]"
